x0,x1,x2,x3,y,x4,x5
2.11,A1,A3,62.2,17712.0,8.2,8.26
0.91,A3,A0,64.6,4265.0,6.02,6.12
0.71,,A0,62.0,2098.0,5.69,5.72
1.0,A2,A0,62.1,5390.0,6.34,6.45
1.26,,A2,60.7,10367.0,7.03,7.05
0.37,,A3,58.9,,4.66,4.68
0.31,A2,A0,58.7,507.0,4.45,4.48
2.02,,A3,61.5,17887.0,8.08,8.21
1.5,A1,A6,61.8,5510.0,7.39,7.31
0.23,A3,A5,60.6,458.0,3.95,3.97
1.02,,A0,65.1,4462.0,6.29,6.25
1.0,A4,A1,63.7,3164.0,6.42,6.27
0.36,A0,A0,60.2,576.0,4.6,4.63
1.0,A3,A4,64.0,3763.0,6.34,6.28
2.13,A0,A1,61.5,17045.0,8.28,8.33
1.04,A1,A3,62.0,,6.49,6.5
0.57,,A0,63.3,1364.0,5.29,5.32
0.5,A0,A3,62.8,1676.0,5.08,5.02
0.73,A1,A2,62.1,3396.0,5.78,5.81
0.23,,A2,63.8,485.0,3.88,3.9
0.31,A1,A3,62.9,698.0,4.34,4.31
0.52,,A0,62.6,1267.0,5.11,5.14
0.3,,A3,62.3,616.0,4.29,4.31
0.24,A1,A7,61.0,678.0,4.04,4.07
1.65,,A3,61.9,14593.0,7.65,7.61
1.0,A0,A1,62.8,4155.0,6.44,6.37
0.9,A0,A3,61.8,4082.0,6.17,6.12
1.59,A2,A1,61.7,9094.0,7.41,7.46
0.71,A2,A0,62.9,2964.0,5.64,5.68
1.15,A1,A0,62.4,6106.0,6.71,6.76
0.33,A0,,61.5,579.0,4.39,4.46
1.41,,A4,62.1,11347.0,7.1,7.06
0.32,A2,A3,61.4,,4.37,4.42
1.37,A0,A4,62.9,8669.0,7.12,7.07
1.0,A0,A0,62.9,3915.0,6.36,6.32
1.5,,A3,59.7,13537.0,7.42,7.46
0.56,A1,,62.0,2321.0,5.3,5.32
1.07,A2,A0,61.8,4307.0,6.52,6.56
0.87,A0,A0,58.8,3742.0,6.3,6.26
0.23,A2,A2,61.2,530.0,3.96,3.98
1.01,A1,A3,61.6,6239.0,6.43,6.46
0.51,,,61.2,1312.0,5.22,5.18
0.34,A1,A5,61.8,1000.0,4.45,4.51
1.54,A2,A3,62.7,7695.0,7.34,7.37
0.26,,A5,61.7,599.0,4.1,4.14
0.38,,,62.0,755.0,4.64,4.67
0.31,A0,A0,61.8,,4.35,4.32
0.9,A0,A0,62.2,3984.0,6.14,6.07
1.5,A1,A4,61.0,12576.0,7.32,7.4
0.3,A1,A0,62.3,432.0,4.29,4.32
0.41,,A4,61.7,899.0,4.78,4.81
0.32,,A0,63.2,533.0,4.37,4.4
2.32,,A1,60.6,18508.0,8.56,8.6
0.41,A1,A3,62.2,1087.0,4.8,4.75
2.18,,A3,62.2,16427.0,8.32,8.36
0.31,,A4,62.4,544.0,4.33,4.36
1.51,,A3,64.0,8794.0,7.16,7.08
0.33,A0,A3,61.9,804.0,4.47,4.42
0.53,,A3,58.3,1727.0,5.31,5.26
0.91,A1,A4,62.3,4860.0,6.17,6.22
0.51,A1,A0,61.5,1580.0,5.13,5.18
2.0,A1,A1,62.9,17534.0,7.94,8.01
0.72,A3,A1,64.1,2254.0,5.64,5.71
0.54,,A3,60.5,1754.0,5.26,5.28
0.43,,A0,61.6,1016.0,4.85,4.8
1.54,A0,A6,62.0,4980.0,7.32,7.4
0.77,A0,A0,60.9,2896.0,5.94,5.88
0.32,A2,,62.2,886.0,4.39,4.43
1.0,A3,A0,61.9,5005.0,6.31,6.36
1.53,A0,A3,59.9,13206.0,7.54,7.45
0.76,A3,A4,59.9,3057.0,5.89,5.98
0.3,A1,A3,61.3,526.0,4.28,4.33
0.9,A2,A0,62.1,4201.0,6.13,6.17
0.57,,A0,61.8,1173.0,5.31,5.34
0.52,A3,A1,63.7,1229.0,5.15,5.12
2.05,,A1,60.1,16357.0,8.2,8.3
,A1,A5,61.0,884.0,4.38,4.39
0.7,A1,A1,62.0,2061.0,5.71,5.74
1.01,,A2,59.8,8212.0,6.47,6.55
0.41,A0,A0,59.3,904.0,4.84,4.8
1.07,A1,A0,61.7,5002.0,6.57,6.59
0.34,A2,A7,59.4,917.0,4.59,4.63
1.01,A1,A4,60.9,8077.0,6.52,6.49
1.16,A0,,61.2,5554.0,6.81,6.76
1.52,A0,A0,59.8,12823.0,7.55,7.51
0.56,A1,A4,60.6,1915.0,5.36,5.33
0.5,A1,A3,62.7,1436.0,5.08,5.1
0.32,A2,A4,61.2,602.0,4.41,4.45
0.4,,A0,62.1,,4.66,4.7
0.3,A1,A4,61.7,570.0,4.32,4.34
0.51,,A0,62.1,1386.0,5.08,5.03
0.31,A1,A7,62.0,789.0,4.38,4.4
0.73,,A1,59.2,2164.0,5.92,5.83
1.27,,,62.4,4353.0,6.93,6.88
1.01,,A1,58.9,,6.55,6.59
0.3,A1,A7,62.1,764.0,4.29,4.31
0.48,A0,A3,60.1,1294.0,5.12,5.1
1.0,A3,A0,64.2,5642.0,6.23,6.29
0.7,A2,A3,61.1,2166.0,5.67,5.75
1.01,,A0,61.8,5158.0,6.48,6.44
0.3,A3,A0,63.8,506.0,4.27,4.19
0.52,A2,A4,63.2,1748.0,5.09,5.1
,,A0,61.8,684.0,4.37,4.33
0.4,A0,A3,61.9,975.0,4.75,4.72
0.44,,A0,61.0,,4.91,4.89
1.01,,A3,62.3,6073.0,6.37,6.44
0.61,A1,A2,61.7,2833.0,5.45,5.48
0.52,A3,A3,63.6,1385.0,5.1,5.05
1.2,A2,A3,62.9,8454.0,6.75,6.8
1.3,,A0,63.4,6307.0,6.93,6.88
1.51,A3,A4,58.2,10819.0,7.49,7.56
1.19,A1,A1,60.4,5406.0,6.89,6.91
0.32,A1,A3,61.7,561.0,4.38,4.4
0.33,A0,A1,60.0,594.0,4.49,4.47
1.29,,A4,60.9,10341.0,6.97,7.01
1.01,,A1,63.1,3768.0,6.34,6.38
1.21,,A2,61.3,13965.0,6.86,6.9
0.3,A1,A5,62.2,1013.0,4.31,4.27
0.5,A1,A3,60.8,1446.0,5.17,5.19
0.52,A1,A3,62.5,,5.17,5.14
0.34,A0,A3,59.3,805.0,4.52,4.55
0.5,,A3,79.0,2579.0,5.21,5.18
0.31,A0,A4,61.7,734.0,4.3,4.36
0.54,,A3,59.4,1662.0,5.29,5.35
1.71,A3,A3,58.0,11250.0,7.85,7.9
0.31,A1,A4,60.9,734.0,4.39,4.41
0.82,A1,A3,61.9,3453.0,5.99,5.96
0.41,A2,A3,63.4,943.0,4.77,4.66
0.4,,A3,59.4,945.0,4.82,4.75
0.71,,A5,63.4,2549.0,5.67,5.71
1.06,,A2,61.1,8776.0,6.62,6.57
0.32,,A0,61.6,421.0,4.36,4.4
0.53,,A2,60.8,1914.0,5.25,5.18
1.0,A4,A0,65.5,3511.0,6.26,6.21
0.5,,A4,62.1,2068.0,5.07,5.1
0.32,,A3,59.7,645.0,4.41,4.44
0.41,A1,A5,61.3,1367.0,4.76,4.8
0.42,,A2,60.6,933.0,4.86,4.88
1.0,,A1,63.5,4400.0,6.35,6.41
0.57,,A2,61.0,2507.0,5.37,5.36
0.9,A2,A0,61.1,4068.0,6.17,6.21
1.5,,A0,62.3,6888.0,7.33,7.22
0.31,,A4,61.6,942.0,4.35,4.32
1.54,A0,A0,61.2,7589.0,7.45,7.41
0.5,A1,A1,61.6,1079.0,5.09,5.14
0.31,,A3,62.4,544.0,4.36,4.39
1.01,,A3,59.2,6204.0,6.46,6.51
1.13,A1,A1,61.0,4535.0,6.73,6.69
0.32,A1,A3,62.0,972.0,4.41,4.37
0.44,A1,A5,61.1,1924.0,4.91,4.94
0.54,,,60.7,1662.0,5.27,5.3
0.24,,A2,61.3,485.0,3.99,4.03
1.0,A0,A5,62.9,7848.0,6.39,6.32
0.74,,A1,63.0,2282.0,5.73,5.77
0.33,,A5,62.1,868.0,4.4,4.43
1.0,,A0,67.6,4665.0,6.03,5.95
0.3,A0,A0,60.0,,4.38,4.36
0.46,,A1,61.6,859.0,4.98,5.02
0.7,A2,A5,62.7,4244.0,5.67,5.71
0.33,A1,A3,61.9,928.0,4.46,4.43
0.9,A3,A0,57.1,3726.0,6.33,6.28
0.75,A2,A3,63.4,2808.0,5.78,5.74
1.07,A0,A4,60.5,,6.67,6.59
0.32,,A4,63.0,720.0,4.39,4.37
0.34,,A0,60.2,803.0,4.54,4.5
2.01,A3,A1,63.4,11554.0,7.95,7.99
0.7,,A0,61.6,1763.0,5.59,5.68
1.09,A1,A4,62.7,5401.0,6.6,6.54
0.7,A0,A4,62.2,2648.0,5.69,5.66
0.55,,A3,61.3,1928.0,5.28,5.29
0.41,A1,A0,62.6,719.0,4.74,4.78
1.58,,A0,61.4,12512.0,7.48,7.45
1.53,A2,A3,62.9,7418.0,7.31,7.34
1.2,A1,A0,62.7,,6.71,6.79
0.7,A2,A3,62.9,,5.66,5.73
1.01,A0,A2,61.2,8163.0,6.49,6.45
0.53,A1,A3,61.4,1956.0,5.25,5.21
0.5,,A6,62.2,1020.0,5.07,5.03
0.3,A2,A2,62.1,684.0,4.23,4.27
1.11,,A1,61.6,,6.62,6.66
1.12,A1,A0,62.7,4290.0,6.66,6.61
0.71,A4,A0,65.0,2045.0,5.57,5.53
0.39,,A5,61.7,1124.0,4.69,4.71
1.64,,A1,61.4,10929.0,7.59,7.55
0.72,,A1,61.1,1806.0,5.83,5.79
0.3,A1,A3,62.0,,4.26,4.29
1.27,,A0,61.4,7005.0,6.94,6.98
0.4,,A7,63.1,1239.0,4.69,4.73
1.22,,A4,61.2,,6.84,6.86
1.54,A3,,63.3,7304.0,7.31,7.34
0.3,,A3,62.4,911.0,4.32,4.27
0.32,,A3,62.0,900.0,4.41,4.37
0.72,A1,A1,61.1,2466.0,5.74,5.79
0.81,,A0,61.6,3311.0,5.96,5.92
0.71,A1,A0,62.5,2218.0,5.69,5.74
1.02,,A4,61.0,7503.0,6.46,6.52
1.01,A1,A3,60.6,7602.0,6.54,6.46
1.6,,A4,62.0,10011.0,7.57,7.56
0.57,A1,A1,61.0,1397.0,5.37,5.32
0.31,A1,A5,61.7,789.0,4.36,4.39
0.4,,A2,62.4,807.0,4.7,4.73
0.46,,A0,62.2,934.0,4.95,4.98
1.05,A1,A1,61.3,4364.0,6.56,6.59
1.32,,A7,62.4,14842.0,6.97,7.01
1.05,,A2,61.3,8693.0,6.56,6.48
0.71,,A3,62.3,2360.0,5.67,5.72
1.18,A1,A0,61.3,5412.0,6.79,6.84
0.71,,A0,60.5,2751.0,5.76,5.8
1.31,,,61.5,,7.06,7.0
0.7,A2,A2,61.7,4240.0,5.68,5.71
0.38,A1,A7,62.2,1402.0,4.64,4.67
1.28,A1,A7,62.0,11401.0,6.94,6.96
0.35,,A3,61.7,491.0,4.52,4.56
0.31,A1,A0,62.1,436.0,4.37,4.39
1.5,,A3,62.0,13506.0,7.37,7.33
1.7,,A1,60.5,8505.0,7.74,7.84
0.72,,A2,61.2,3352.0,5.76,5.77
0.33,A0,A3,61.0,928.0,4.46,4.43
1.01,,A4,64.0,,6.37,6.32
0.75,A1,A1,62.1,2278.0,5.81,5.85
0.33,,A2,60.0,970.0,4.53,4.56
1.14,A1,A3,62.6,6095.0,6.68,6.65
0.9,A2,A1,60.7,3139.0,6.16,6.22
0.53,,A3,60.6,2290.0,5.26,5.2
0.4,A0,A4,62.9,1050.0,4.71,4.67
0.46,,A4,61.9,1437.0,4.94,4.91
0.3,A0,A2,61.6,737.0,4.28,4.35
0.61,,A2,62.4,2907.0,5.42,5.43
2.18,,A1,61.4,14870.0,8.37,8.31
,A1,A0,62.2,4784.0,6.56,6.59
0.82,A0,A1,60.0,2329.0,6.11,6.08
1.0,,A1,63.6,3265.0,6.25,6.2
0.4,A0,A3,60.7,,4.7,4.75
0.3,A0,A3,61.5,776.0,4.29,4.26
1.0,A4,A1,64.6,3142.0,6.25,6.19
0.32,A1,A4,61.9,773.0,4.42,4.4
0.41,,A5,61.8,1295.0,4.76,4.78
2.01,A0,A0,60.5,12369.0,8.12,8.01
0.43,,A1,61.3,729.0,4.87,4.89
0.49,,A1,60.8,980.0,5.12,5.04
1.01,A3,A1,63.8,3532.0,6.31,6.36
2.51,A0,A1,62.3,18255.0,8.76,8.69
1.03,A1,A3,61.2,5378.0,6.5,6.51
0.32,A0,A0,62.8,612.0,4.36,4.34
0.32,,A0,61.5,715.0,4.42,4.46
0.65,,A3,57.8,2406.0,5.72,5.78
1.24,A1,A3,62.2,8298.0,6.94,6.88
0.9,,A4,62.4,3643.0,6.13,6.18
0.58,,A5,62.1,3732.0,5.33,5.37
1.61,,A4,62.0,17256.0,7.52,7.55
,A0,A4,61.6,8823.0,6.44,6.42
1.14,A1,A3,61.7,5937.0,6.73,6.68
0.34,A2,A7,61.1,999.0,4.54,4.56
0.48,A0,A0,61.1,1170.0,5.05,5.0
1.25,A1,A2,62.5,10636.0,6.88,6.93
0.95,A0,A1,60.5,3671.0,6.44,6.36
0.32,,A5,60.2,1080.0,4.49,4.45
0.32,A1,A4,60.5,645.0,4.42,4.44
0.5,A2,A0,63.4,1155.0,5.09,5.01
0.71,A2,A3,61.3,2930.0,5.74,5.71
1.01,A0,A3,62.0,6787.0,6.46,6.44
1.51,A3,A4,65.9,8975.0,7.02,7.09
0.4,A2,A3,62.5,596.0,4.67,4.71
0.7,A0,A1,60.6,1806.0,5.81,5.74
0.27,A3,,63.9,586.0,4.07,4.1
0.33,A0,A0,62.8,705.0,4.42,4.4
0.72,A1,A1,61.9,2674.0,5.83,5.73
0.35,A1,A2,62.5,906.0,4.54,4.48
0.45,A1,A5,61.5,1297.0,4.91,4.95
1.01,A1,A1,60.6,4239.0,6.49,6.55
1.01,A2,A3,63.4,6406.0,6.35,6.4
0.3,A1,A7,61.0,863.0,4.31,4.34
0.31,,A0,59.6,418.0,4.39,4.44
0.57,A1,A4,61.3,2110.0,5.34,5.37
1.18,A2,A0,60.8,6286.0,6.81,6.85
0.56,A1,A3,61.9,1698.0,5.32,5.28
0.3,A1,A4,62.2,775.0,4.28,4.3
0.51,,A4,59.5,1873.0,5.24,5.21
0.5,,A1,62.0,1214.0,5.09,5.12
0.25,A1,A3,61.0,367.0,4.09,4.11
1.0,A4,A0,64.9,,6.2,6.13
0.51,,A0,60.3,1687.0,5.22,5.2
0.43,A0,A3,61.1,867.0,4.84,4.88
0.4,,A2,62.2,939.0,4.72,4.76
2.3,A2,A1,60.6,14603.0,8.51,8.56
0.51,A1,A3,62.5,1656.0,5.08,5.13
1.03,A1,A0,61.6,4900.0,6.53,6.46
1.29,A1,A1,61.5,6321.0,7.03,6.99
1.0,A4,A3,64.5,5161.0,6.26,6.2
0.3,,,62.7,608.0,4.26,4.22
0.52,A1,A3,61.7,1689.0,5.16,5.21
1.12,A2,A0,58.8,5447.0,6.74,6.8
0.4,A1,A5,62.2,1059.0,4.73,4.76
0.9,A2,A0,63.1,4151.0,6.12,6.02
0.38,A1,A0,61.9,593.0,4.64,4.67
0.72,,,61.7,2316.0,5.77,5.73
1.53,A0,A3,62.9,7554.0,7.34,7.31
0.4,A1,A2,61.8,1158.0,4.74,4.78
0.32,A2,A0,63.3,756.0,4.38,4.37
0.3,A1,A0,62.2,709.0,4.33,4.29
2.16,,A5,61.5,,8.36,8.26
0.41,,A4,62.1,1153.0,4.8,4.77
2.35,,A4,60.7,14399.0,8.64,8.6
0.81,,A4,61.8,3257.0,5.97,6.04
1.02,,A0,61.3,5291.0,6.43,6.53
1.17,,A3,61.4,7550.0,6.77,6.81
0.34,A3,A1,63.9,536.0,4.43,4.4
1.04,A1,A0,62.4,5528.0,6.48,6.53
0.31,A1,A3,60.2,804.0,4.46,4.41
1.22,A2,,59.5,9495.0,6.91,7.0
0.54,A3,A4,59.0,1640.0,5.3,5.28
0.71,,A1,62.2,2423.0,5.65,5.7
0.31,A0,A4,59.6,802.0,4.38,4.35
0.91,A0,A3,60.8,4357.0,6.28,6.21
0.71,A0,A4,59.2,3718.0,5.9,5.85
0.31,A1,A7,61.9,901.0,4.38,4.41
1.01,A2,,61.5,5542.0,6.37,6.47
1.58,A1,A0,61.7,9335.0,7.55,7.48
1.5,A2,A1,60.7,8580.0,7.33,7.36
0.39,A2,A4,60.3,790.0,4.71,4.77
0.4,A2,,61.8,822.0,4.69,4.72
0.27,A3,,61.7,498.0,4.1,4.14
0.9,,A0,63.8,3061.0,6.11,6.14
0.8,A1,A4,61.1,3578.0,5.96,6.03
1.03,,A1,61.8,4764.0,6.51,6.46
0.42,,A5,61.8,1547.0,4.79,4.82
0.77,A2,A0,63.6,2915.0,5.79,5.88
1.36,A3,A0,64.3,7549.0,6.93,6.85
1.0,,A1,63.2,3293.0,6.32,6.27
1.05,,A3,62.3,7244.0,6.5,6.46
0.32,,A0,62.0,540.0,4.36,4.41
0.32,,A3,60.5,972.0,4.48,4.45
0.36,A1,A2,61.8,888.0,4.57,4.62
1.0,,A2,61.3,8602.0,6.44,6.41
0.43,A1,A7,61.6,1341.0,4.84,4.81
1.04,A1,A1,62.4,4486.0,6.4,6.48
0.48,A1,A0,61.2,927.0,5.06,5.1
1.08,,A1,60.3,4442.0,6.72,6.65
0.52,A0,A4,59.1,1622.0,5.24,5.19
0.54,,A5,61.7,2041.0,5.24,5.26
0.33,A1,A5,61.9,893.0,4.43,4.46
2.01,,A1,61.4,,8.14,8.07
0.8,A1,A4,62.2,3581.0,5.92,5.95
1.0,A0,A4,62.4,4950.0,6.43,6.4
0.38,A1,A3,61.5,968.0,4.67,4.69
0.76,,A3,62.8,2175.0,5.78,5.74
0.81,A3,A3,62.9,3250.0,5.88,5.94
0.3,A2,A3,62.8,605.0,4.24,4.29
1.02,,A0,64.6,3972.0,6.33,6.28
0.36,A1,A2,62.3,776.0,4.55,4.57
0.25,A2,A5,62.9,633.0,4.04,4.06
0.4,A3,A4,63.8,1138.0,4.72,4.69
1.51,A0,A3,62.0,14294.0,7.35,7.23
0.57,A2,A3,59.5,1754.0,5.39,5.43
0.41,,A0,60.4,725.0,4.75,4.79
0.31,,A3,60.8,872.0,4.37,4.35
0.9,A3,A4,63.9,4479.0,6.09,6.14
0.33,,A3,61.1,594.0,4.44,4.4
0.32,A1,A5,61.1,1080.0,4.44,4.4
1.18,A2,A1,62.5,5088.0,6.7,6.74
0.79,A1,,60.8,2453.0,5.99,5.96
1.5,A0,A1,60.8,9408.0,7.36,7.3
0.52,A1,A2,61.6,2168.0,5.16,5.2
0.36,,A3,61.0,587.0,4.59,4.62
0.7,A2,A4,62.7,2777.0,5.66,5.73
0.3,A1,A3,61.3,911.0,4.36,4.32
1.01,,A0,62.2,,6.41,6.35
0.71,,A0,61.6,2649.0,5.73,5.76
2.3,A0,A0,59.6,12499.0,8.61,8.56
2.02,A3,A1,61.9,15261.0,8.06,8.02
1.05,A1,A1,62.3,4126.0,6.52,6.55
1.38,A1,A4,62.2,11527.0,7.18,7.14
0.32,A0,A3,61.3,828.0,4.4,4.37
1.78,A2,A0,60.6,13659.0,7.89,7.94
0.32,A3,A0,63.4,,4.36,4.38
1.01,,A1,60.5,4799.0,6.45,6.5
0.32,,A3,61.6,720.0,4.41,4.39
1.13,,A2,60.7,8192.0,6.74,6.81
0.31,A1,A0,62.4,,4.35,4.33
0.52,,A5,60.7,2065.0,5.19,5.29
1.24,A1,A0,61.8,5000.0,6.92,6.86
1.51,A1,,62.2,13163.0,7.28,7.34
1.01,A2,A0,60.6,5743.0,6.37,6.43
0.31,A1,A7,60.5,853.0,4.39,4.4
1.26,,A4,62.7,10076.0,6.93,6.86
0.48,,A2,59.5,2329.0,5.16,5.12
1.26,A0,A1,58.6,5998.0,7.09,7.04
1.01,A0,A3,62.7,5988.0,6.39,6.4
2.01,A0,A3,62.6,13599.0,8.02,7.88
1.51,,A0,59.4,10838.0,7.48,7.57
1.09,A3,A1,60.3,4698.0,6.64,6.69
2.04,A0,A0,60.7,15217.0,8.3,8.15
1.21,,A3,62.6,7426.0,6.78,6.84
0.99,,A0,62.8,4863.0,6.34,6.36
0.31,,A4,61.8,877.0,4.36,4.34
0.35,,A1,60.8,669.0,4.57,4.51
0.51,A2,A5,60.1,2005.0,5.16,5.35
1.7,,A3,62.5,13737.0,7.54,7.45
0.56,A1,A7,61.3,2135.0,5.32,5.35
0.5,A0,A5,61.5,2525.0,5.12,5.06
0.54,,,61.8,2333.0,5.27,5.25
0.55,A2,A3,61.2,1725.0,5.22,5.27
0.71,A4,A0,65.9,1828.0,5.54,5.48
1.52,,A0,63.4,9780.0,7.25,7.3
1.12,A1,A3,62.2,6774.0,6.65,6.62
0.25,,A3,63.3,436.0,4.01,4.05
0.72,A0,A3,62.6,1814.0,5.72,5.66
0.71,A0,A3,62.9,2362.0,5.66,5.62
1.23,,A1,61.2,5315.0,6.86,6.9
0.31,,A4,61.8,802.0,4.35,4.32
0.46,A2,A4,60.0,1378.0,5.05,5.1
1.01,,A0,57.9,5233.0,6.6,6.67
1.01,,A2,65.9,7001.0,6.18,6.27
0.52,A0,A1,62.7,1073.0,5.11,5.07
0.52,A1,A3,61.5,1919.0,5.19,5.15
1.04,,A3,61.3,5964.0,6.45,6.53
0.53,A1,A3,62.6,1857.0,5.14,5.18
1.02,A0,A0,62.7,4284.0,6.48,6.41
1.33,A0,A4,61.5,7090.0,7.06,7.02
0.74,A1,A3,61.2,3434.0,5.82,5.85
0.7,A2,A0,59.2,2018.0,5.79,5.86
0.32,A2,A4,62.1,645.0,4.41,4.44
0.56,,A3,61.4,1882.0,5.35,5.31
0.31,,A2,62.9,907.0,4.3,4.28
1.5,A3,,63.6,13853.0,7.27,7.22
0.41,,A2,61.0,1076.0,4.8,4.78
1.22,A4,A1,65.0,4705.0,6.71,6.8
1.12,A2,A3,63.9,4914.0,6.58,6.65
1.31,A0,,60.5,,7.11,7.04
,,A3,62.3,1063.0,4.54,4.52
0.34,A2,,59.0,,4.56,4.62
0.56,A1,A0,62.7,1580.0,5.23,5.27
0.52,,A3,61.2,1947.0,5.2,5.16
0.43,A1,A3,61.9,716.0,4.87,4.88
0.9,,A0,63.2,3120.0,6.15,6.12
0.41,A1,A4,62.0,674.0,4.75,4.79
2.24,A1,A1,62.1,15852.0,8.31,8.4
1.55,,A1,62.0,7319.0,7.41,7.37
1.51,,A0,64.1,9674.0,7.21,7.15
1.0,A3,A0,64.9,4276.0,6.24,6.31
0.54,A1,A5,62.2,2123.0,5.2,5.22
1.7,A1,A0,60.0,12190.0,7.76,7.71
1.56,A3,A0,63.7,7862.0,7.34,7.25
1.08,,A4,62.5,4877.0,6.54,6.51
0.31,A1,A7,61.4,772.0,4.36,4.39
0.26,,A3,63.2,453.0,4.06,4.1
0.33,,A0,62.0,743.0,4.43,4.41
1.25,,A1,62.8,4991.0,6.86,6.78
0.72,A2,A1,59.4,2125.0,5.87,5.82
0.57,A2,A3,60.4,1651.0,5.35,5.38
0.39,A2,A6,62.8,511.0,4.61,4.66
0.53,A2,A1,61.4,1046.0,5.21,5.25
0.59,,A1,60.5,1325.0,5.43,5.51
0.32,A1,,62.5,505.0,4.38,4.42
0.41,A1,A5,60.6,1582.0,4.82,4.79
0.5,,,60.9,1801.0,5.07,5.11
0.7,A4,A0,65.2,2318.0,5.57,5.54
0.32,A1,A0,61.9,559.0,4.4,4.43
1.21,,A1,61.5,5290.0,6.77,6.82
0.34,,A7,60.7,974.0,4.51,4.55
0.43,,A2,62.2,,4.83,4.85
1.46,A1,A0,62.4,8855.0,7.26,7.22
0.3,A0,A4,60.1,,4.32,4.3
0.39,A2,A3,62.7,794.0,4.64,4.68
0.46,,A3,61.3,1156.0,5.02,4.99
0.3,A2,A3,61.8,658.0,4.26,4.28
2.02,,A0,62.4,17141.0,8.07,8.03
0.31,A2,A0,62.0,544.0,4.3,4.35
0.3,A2,A5,61.2,552.0,4.27,4.29
0.36,A1,A3,61.5,629.0,4.57,4.6
0.27,A3,A2,64.3,693.0,4.14,4.09
0.33,A0,A0,60.3,780.0,4.49,4.47
1.01,A3,A6,63.1,2844.0,6.35,6.39
0.77,A1,A3,61.1,3837.0,5.93,5.96
2.01,A2,A1,61.0,11110.0,8.09,8.14
0.9,A0,A0,59.5,3689.0,6.29,6.21
0.31,,A3,61.4,559.0,4.38,4.41
1.01,A1,A0,62.6,5599.0,6.43,6.38
2.1,A2,A1,62.0,12196.0,8.17,8.23
0.9,A2,A0,62.0,3734.0,6.07,6.13
1.21,A0,A3,61.5,8877.0,6.81,6.74
1.08,,A1,61.7,5080.0,6.6,6.55
0.3,,A0,60.4,439.0,4.33,4.35
0.33,A1,A7,61.7,968.0,4.42,4.46
0.77,A0,A0,60.9,2457.0,5.89,5.87
2.01,A0,A3,62.1,,7.98,8.06
1.05,,A3,61.6,6837.0,6.52,6.56
1.17,A1,A0,61.1,6368.0,6.77,6.83
0.52,,A2,61.8,2301.0,5.16,5.19
1.5,A0,A3,61.9,,7.38,7.31
0.3,A2,A1,63.5,540.0,4.3,4.27
1.09,A1,A1,62.1,4586.0,6.59,6.66
0.76,A2,A3,63.4,,5.78,5.74
1.11,A1,A7,61.9,9931.0,6.64,6.68
0.76,,A2,60.6,3767.0,5.94,5.85
1.67,,A0,59.4,11248.0,7.78,7.73
0.32,A2,A5,61.9,983.0,4.42,4.46
1.22,,A3,60.8,7310.0,6.93,6.86
1.2,A1,A3,62.8,8414.0,6.75,6.79
0.34,A1,A3,62.9,765.0,4.52,4.45
1.02,,A3,62.0,5581.0,6.48,6.43
1.0,A2,A1,63.3,4390.0,6.29,6.25
1.02,A1,A0,61.8,4558.0,6.48,6.41
0.72,A0,A7,60.1,3185.0,5.89,5.86
0.23,A2,A5,63.5,530.0,3.92,3.95
1.0,A2,A0,62.3,4702.0,6.34,6.38
0.4,A0,A1,61.4,666.0,4.7,4.75
1.5,,A3,62.6,7492.0,7.25,7.29
0.41,A2,A0,63.1,904.0,4.75,4.7
0.31,,A2,61.6,698.0,4.33,4.31
0.4,,A4,61.2,1125.0,4.77,4.74
0.75,A0,A1,62.7,2268.0,5.82,5.76
0.41,A0,A4,60.7,1076.0,4.82,4.77
1.0,,A0,65.8,3304.0,6.22,6.19
0.32,A2,A4,63.0,561.0,4.4,4.42
0.41,A1,A2,61.4,1243.0,4.81,4.77
0.78,A0,A0,60.9,3145.0,6.0,5.93
0.73,A1,A5,61.7,2561.0,5.83,5.78
0.71,A2,A3,62.1,2905.0,5.65,5.71
0.38,,A3,61.0,847.0,4.7,4.75
0.24,A1,A5,61.8,526.0,4.0,4.03
0.51,,A3,61.0,,5.17,5.21
0.79,A1,A0,61.2,3185.0,6.02,5.95
1.2,,A4,58.4,8177.0,6.95,6.91
0.55,A1,A0,62.1,1571.0,5.21,5.25
0.39,,A1,62.4,721.0,4.65,4.58
0.53,A3,A1,63.4,1141.0,5.16,5.18
0.72,A4,A0,64.8,1799.0,5.69,5.67
0.31,A1,A4,62.6,544.0,4.31,4.35
0.37,A1,A4,61.3,,4.68,4.65
0.4,A3,A4,64.0,,4.69,4.66
0.3,A2,,63.1,630.0,4.27,4.23
1.19,,A1,61.7,4798.0,6.83,6.78
0.41,A0,A4,59.9,1007.0,4.81,4.84
0.31,A0,A3,62.4,488.0,4.33,4.29
0.4,,A2,63.0,849.0,4.72,4.74
0.3,A1,A3,62.4,844.0,4.28,4.25
1.28,A1,A4,61.7,9342.0,6.97,7.02
0.31,,A3,61.8,872.0,4.36,4.34
0.53,,A3,62.8,1653.0,5.21,5.17
2.01,,A4,62.5,17365.0,7.96,8.0
1.7,A2,A4,62.9,10165.0,7.54,7.67
0.47,A1,A0,60.8,1163.0,5.0,5.03
0.3,,A4,61.0,570.0,4.33,4.36
0.31,,A3,61.5,734.0,4.34,4.37
